id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Road,Dusty Strings,country,relaxed,0.55,96,0.72,0.58,0.78
12,Bass Drop City,Frequency Lab,electronic,energetic,0.96,140,0.65,0.95,0.02
13,Sunday Morning Rain,Hollow Pines,folk,melancholic,0.30,68,0.42,0.45,0.91
14,Neon Hustle,Block Theory,hip-hop,confident,0.78,104,0.70,0.87,0.08
15,Red Velvet Slow,Sable Moon,r&b,romantic,0.52,82,0.76,0.71,0.38
16,Shatter Zone,Iron Veil,metal,intense,0.97,168,0.22,0.52,0.03
17,Piano After Rain,Clara Voss,classical,peaceful,0.18,54,0.68,0.28,0.98
18,Tropic Signal,Cayo Drift,reggae,chill,0.61,88,0.82,0.76,0.52
